"gene","logFC","logCPM","PValue","FDR","topDE"
"HOXC-AS1",-1.59763329421598,4.9352702705891,2.83975633574019e-21,5.49947211979446e-17,"Down"
"U62317.1",2.5977684738714,5.09934620406944,6.62251261793495e-18,6.41257896794641e-14,"Up"
"AL139099.1",1.38593033073077,5.92532024258202,5.76554852663976e-17,3.72185375889685e-13,"Up"
"AC025259.1",2.19735495449462,5.20616820190436,2.53433525935873e-16,1.05812190504215e-12,"Up"
"AC020909.4",1.71241007489116,5.51547152163739,2.73190618879003e-16,1.05812190504215e-12,"Up"
"AC211429.1",-1.48658006833241,4.79463779868608,1.04681425085362e-15,3.37876746367186e-12,"Down"
"AC068631.2",1.60909120598098,5.55131896991057,2.79293363313435e-15,7.7268503913257e-12,"Up"
"HSPE1-MOB4",2.49844348833116,5.39395416020335,8.39496476355345e-15,2.0322110951372e-11,"Up"
"AC025423.4",1.33408663385597,5.798508408879,9.70551975565399e-15,2.08841217319995e-11,"Up"
"AC017083.2",1.35850094594489,5.76634909685587,1.38107689146885e-14,2.67459350801858e-11,"Up"
"CCER2",-1.46913918517556,4.70048995605759,9.18121793232146e-14,1.48640315770973e-10,"Down"
"AC243772.2",1.61363324940864,5.42821688954062,9.92927237026573e-14,1.48640315770973e-10,"Up"
"AC124068.1",1.45099719461217,5.59425788913279,9.97792060839951e-14,1.48640315770973e-10,"Up"
"AC132217.1",1.40670522798769,5.58389284673913,2.28713814394026e-13,3.16376552111051e-10,"Up"
"AC009955.4",-1.22637007246915,4.97347180673163,1.34071311795096e-12,1.73095001614922e-09,"Down"
"SPATA20P1",1.4562445949674,5.42920086390585,2.80281717771081e-12,3.35021657555791e-09,"Up"
"HSPB6",-0.918267178335114,5.61474286845732,2.94091096687413e-12,3.35021657555791e-09,"NA"
"FOXI2",-1.33149377197935,4.77965873904492,3.36611979763436e-12,3.62157088894372e-09,"Down"
"HIST1H2BO",1.32416003902644,5.57690130239727,5.97846295146498e-12,6.09362702726689e-09,"Up"
"CDC25C",1.82655231673736,5.08299379832512,7.07754836938669e-12,6.85319008607713e-09,"Up"
"AC239798.2",1.30875084052119,5.55988785540165,7.54270597731599e-12,6.95581161698578e-09,"Up"
"AC026369.3",1.73239964737105,5.15023756822226,9.00230917270576e-12,7.92448724720999e-09,"Up"
"AC006027.1",1.29058832550442,5.56244520970203,1.59170053901146e-11,1.34021185384765e-08,"Up"
"S100A9",0.866300517212147,6.32631269800446,1.6804745991896e-11,1.35600296199607e-08,"NA"
